2019-01-21-18-53-12, 400 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
 0, 0, 0, 0, 0, 0, 0, 0||
2019-01-21-18-56-03
, 400 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
2019-01-21-18-57-11
, 400 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
 0, 0, 0, 0, 0, 0, 0, 0
2019-01-21-19-00-48
, 400 594269, 1383430, 594384, 2572083, 1321078, 2091990, 1286426, 4699494
 604688, 1395416, 646855, 2646959, 1230803, 2187808, 1287054, 4705665
 617973, 1356092, 632687, 2606752, 1359638, 2098784, 1295399, 4753821
 627456, 1365023, 687939, 2680418, 1307743, 2134331, 1279021, 4721095
 612729, 1349688, 669039, 2631456, 1397728, 2172963, 1293636, 4864327
 606680, 1360120, 684950, 2651750, 1470440, 2166377, 1287907, 4924724
 623208, 1354492, 674082, 2651782, 1476823, 2235519, 1340202, 5052544
 592902, 1412531, 665488, 2670921, 1583564, 2218848, 1281480, 5083892
2019-01-21-19-13-11
, 400 621027, 1370878, 655355, 2647260, 621061, 1370939, 655303, 2647303
 736768, 1449364, 1086147, 3272279, 1280702, 2127584, 1298471, 4706757
2019-01-21-19-17-10
, 4002019-01-21-19-18-30
, 400 1609393, 2245736, 1391689, 5246818
, 0, 1609521, 2245776, 1391959, 5247256
2019-01-21-19-19-06
, 400 1609330, 2245895, 1392809, 5248034
, 0, 1598379, 2306795, 1376200, 5281374
, 1, 1607943, 2266142, 1392554, 5266639
, 2, 1611708, 2512467, 1324539, 5448714
, 3, 1598282, 2477566, 1345951, 5421799
, 4, 1605788, 2527699, 1325908, 5459395
, 5, 1617972, 2494423, 1339564, 5451959
, 6, 1618268, 2507781, 1338980, 5465029
2019-01-21-19-19-41
, 400 1607043, 2295583, 1410363, 5312989
, 0, 1607337, 2307450, 1411310, 5326097
, 1, 1674162, 2465384, 1352132, 5491678
, 2, 1662961, 2433358, 1356228, 5452547
, 3, 1662781, 2433562, 1356651, 5452994
2019-01-21-19-20-17
, 400 1643842, 2298868, 1416180, 5358890
, 0, 1643614, 2298546, 1416306, 5358466
, 1, 1649461, 2501759, 1348860, 5500080
, 2, 1722784, 2523732, 1347286, 5593802
, 3, 1678720, 2471166, 1356913, 5506799
, 4, 1747099, 2422826, 1366088, 5536013
, 5, 1692339, 2317162, 1426938, 5436439
, 6, 1693094, 2323607, 1419943, 5436644
, 7, 1713535, 2364609, 1379947, 5458091
, 8, 1738287, 2339001, 1386543, 5463831
, 9, 1727306, 2300716, 1398171, 5426193
, 10, 1745851, 2286340, 1403107, 5435298
, 11, 1686453, 2277586, 1419427, 5383466
, 12, 1670815, 2252704, 1435183, 5358702
, 13, 1686457, 2243546, 1440811, 5370814
, 14, 1902801, 2186718, 1446146, 5535665
, 15, 1906729, 2186559, 1458571, 5551859
, 16, 1840144, 2164158, 1480313, 5484615
, 17, 1698434, 2158636, 1496588, 5353658
, 18, 1654704, 2151001, 1506502, 5312207
, 19, 1647621, 2150835, 1542891, 5341347
, 20, 1629977, 2157478, 1552518, 5339973
, 21, 1627359, 2169388, 1571525, 5368272
, 22, 1615106, 2193624, 1579615, 5388345
, 23, 1608685, 2183410, 1642069, 5434164
, 24, 1596880, 2232715, 1650853, 5480448
, 25, 1592461, 2277764, 1602427, 5472652
, 26, 1549388, 2229194, 1798713, 5577295
, 27, 1536775, 2224844, 1750537, 5512156
, 28, 1508118, 2257424, 1752076, 5517618
, 29, 1497326, 2299450, 1746194, 5542970
, 30, 1489323, 2318410, 1737867, 5545600
, 31, 1499899, 2326375, 1663395, 5489669
, 32, 1467850, 2340996, 1759798, 5568644
, 33, 1437002, 2368662, 1749933, 5555597
, 34, 1404861, 2422134, 1761360, 5588355
, 35, 1478392, 2370081, 1651874, 5500347
, 36, 1420920, 2414614, 1734149, 5569683
, 37, 1376262, 2461403, 1746005, 5583670
, 38, 1364462, 2487223, 1737214, 5588899
, 39, 1449901, 2398824, 1677711, 5526436
, 40, 1365350, 2483727, 1729578, 5578655
, 41, 1357786, 2522164, 1715840, 5595790
, 42, 1392354, 2482847, 1711337, 5586538
, 43, 1467446, 2379575, 1607197, 5454218
, 44, 1464867, 2405994, 1611447, 5482308
, 45, 1392283, 2499880, 1660502, 5552665
, 46, 1394521, 2527566, 1643803, 5565890
, 47, 1397423, 2567090, 1623094, 5587607
, 48, 1355828, 2741074, 1630723, 5727625
, 49, 1464572, 2465571, 1557024, 5487167
, 50, 1449670, 2588583, 1556968, 5595221
, 51, 1447858, 2629976, 1530959, 5608793
, 52, 1456038, 2601213, 1519567, 5576818
, 53, 1458078, 2604662, 1496666, 5559406
, 54, 1463851, 2432320, 1523486, 5419657
, 55, 1459687, 2614943, 1475074, 5549704
, 56, 1461960, 2614171, 1465120, 5541251
, 57, 1465575, 2621372, 1450181, 5537128
, 58, 1474348, 2654813, 1421730, 5550891
, 59, 1476300, 2458257, 1471574, 5406131
, 60, 1478167, 2625460, 1426148, 5529775
, 61, 1483355, 2605143, 1396707, 5485205
, 62, 1482997, 2387359, 1486703, 5357059
, 63, 1504043, 2622806, 1405918, 5532767
, 64, 1523772, 2609584, 1397569, 5530925
, 65, 1526314, 2382622, 1472422, 5381358
, 66, 1544407, 2469327, 1449993, 5463727
, 67, 1575581, 2573131, 1391711, 5540423
, 68, 1556440, 2358906, 1467934, 5383280
, 69, 1556265, 2358773, 1468304, 5383342
2019-01-21-19-38-28
, 400 1460945, 2316001, 1474482, 5251428
, 0, 1512839, 2396448, 1441884, 5351171
, 1, 1629311, 2513513, 1379336, 5522160
, 2, 1669869, 2544959, 1351135, 5565963
, 3, 1659012, 2397867, 1392964, 5449843
, 4, 1684325, 2352565, 1447346, 5484236
, 5, 1682852, 2359668, 1445619, 5488139
, 6, 1676139, 2331117, 1453388, 5460644
, 7, 1718558, 2362778, 1421863, 5503199
, 8, 1676755, 2324024, 1455327, 5456106
, 9, 1681627, 2320549, 1455161, 5457337
, 10, 1674152, 2280857, 1462503, 5417512
, 11, 1679029, 2281080, 1464631, 5424740
, 12, 1661273, 2280328, 1467034, 5408635
, 13, 1731472, 2247997, 1476968, 5456437
, 14, 837521, 2205648, 1484315, 4527484
, 15, 1671212, 2185019, 1497643, 5353874
, 16, 1684633, 2155237, 1513532, 5353402
, 17, 1667703, 2178825, 1520512, 5367040
, 18, 1665834, 2195938, 1536220, 5397992
, 19, 1659561, 2162492, 1549369, 5371422
, 20, 1638218, 2156698, 1578118, 5373034
, 21, 1628325, 2212014, 1562396, 5402735
, 22, 1622950, 2288131, 1548379, 5459460
, 23, 1618481, 2287772, 1574235, 5480488
, 24, 1594401, 2302144, 1621453, 5517998
, 25, 1574912, 2286931, 1631091, 5492934
, 26, 1506123, 2285829, 1744763, 5536715
, 27, 1474288, 2301041, 1746715, 5522044
, 28, 1445406, 2337417, 1754446, 5537269
, 29, 1465055, 2366971, 1715203, 5547229
, 30, 1493541, 2358923, 1624077, 5476541
, 31, 1371083, 2432006, 1755661, 5558750
, 32, 1381767, 2472345, 1735033, 5589145
, 33, 1384557, 2487234, 1676827, 5548618
, 34, 1475466, 2374435, 1592793, 5442694
, 35, 1473360, 2343561, 1579328, 5396249
, 36, 1467834, 2389527, 1562839, 5420200
, 37, 1456528, 2422102, 1559247, 5437877
, 38, 1446868, 2467923, 1556533, 5471324
, 39, 1460997, 2400012, 1539502, 5400511
, 40, 1461833, 2432290, 1534532, 5428655
, 41, 1458946, 2495276, 1497561, 5451783
, 42, 1455573, 2642772, 1443188, 5541533
, 43, 1457111, 2636449, 1441163, 5534723
, 44, 1459936, 2614740, 1444262, 5518938
, 45, 1463058, 2600211, 1434508, 5497777
, 46, 1467302, 2622720, 1423775, 5513797
, 47, 1471477, 2631681, 1413438, 5516596
, 48, 1494162, 2627055, 1401210, 5522427
, 49, 1518339, 2607712, 1378746, 5504797
, 50, 1539402, 2402871, 1463804, 5406077
, 51, 1549531, 2393608, 1438145, 5381284
, 52, 1604619, 2392660, 1442329, 5439608
2019-01-21-19-48-05
, 400 618025, 1399160, 632012, 2649197
, 0, 618460, 1398722, 633104, 2650286
, 1, 1413796, 2265745, 1444714, 5124255
, 2, 657445, 1355943, 700194, 2713582
, 3, 715899, 1411367, 780680, 2907946
, 4, 580980, 1387400, 680248, 2648628
, 5, 1482933, 2347211, 1506221, 5336365
, 6, 1371257, 2258276, 1433178, 5062711
, 7, 1442810, 2315633, 1473742, 5232185
, 8, 1434655, 2287158, 1472228, 5194041
, 9, 1443928, 2334369, 1472391, 5250688
, 10, 1183567, 1849091, 1632735, 4665393
, 11, 1393770, 2331347, 1405305, 5130422
, 12, 1420745, 2305973, 1468617, 5195335
, 13, 1357849, 2290369, 1383177, 5031395
, 14, 1559978, 2287756, 1286565, 5134299
, 15, 1332589, 2290052, 1351760, 4974401
, 16, 1441474, 2271491, 1487712, 5200677
, 17, 1388307, 2364214, 1447906, 5200427
, 18, 1402165, 2277146, 1444004, 5123315
, 19, 1449180, 2301888, 1471741, 5222809
, 20, 1393051, 2324163, 1448537, 5165751
, 21, 1420882, 2362066, 1461816, 5244764
, 22, 1430725, 2356068, 1470844, 5257637
, 23, 1442221, 2315362, 1444170, 5201753
, 24, 1429666, 2318852, 1450364, 5198882
, 25, 1427126, 2281873, 1406723, 5115722
, 26, 1458563, 2312798, 1498650, 5270011
, 27, 1392891, 2270108, 1325907, 4988906
, 28, 1434003, 2315468, 1475702, 5225173
, 29, 1303136, 2339754, 1385827, 5028717
, 30, 1374996, 2203078, 1421067, 4999141
, 31, 1336815, 2166356, 1405471, 4908642
, 32, 1438741, 2309945, 1297291, 5045977
, 33, 1423345, 2307583, 1443666, 5174594
, 34, 1335320, 2220856, 1358611, 4914787
, 35, 1289338, 2227129, 1369842, 4886309
, 36, 1337628, 2241414, 1323967, 4903009
, 37, 1403825, 2312506, 1439562, 5155893
, 38, 1472415, 2347467, 1444034, 5263916
, 39, 1437912, 2316149, 1430375, 5184436
, 40, 1071753, 2073937, 1348088, 4493778
, 41, 1428502, 2388638, 1382272, 5199412
, 42, 1379669, 2316651, 1377724, 5074044
, 43, 1428435, 2272432, 1486389, 5187256
, 44, 1460941, 2323780, 1295435, 5080156
, 45, 1425450, 2261218, 1386065, 5072733
, 46, 1115115, 1791979, 1442272, 4349366
, 47, 616938, 1417005, 787715, 2821658
, 48, 631535, 1359172, 749603, 2740310
, 49, 1441881, 2249821, 1446390, 5138092
, 50, 1453272, 2361781, 1311843, 5126896
, 51, 1522235, 2370417, 1315639, 5208291
, 52, 1524484, 2333072, 1378776, 5236332
, 53, 1347264, 2258469, 1448222, 5053955
, 54, 1426028, 2316937, 1463733, 5206698
, 55, 1410708, 2315684, 1445036, 5171428
, 56, 1405678, 2337853, 1450615, 5194146
, 57, 1429336, 2294143, 1445310, 5168789
, 58, 1375562, 2308167, 1437656, 5121385
, 59, 1426308, 2323411, 1426935, 5176654
, 60, 1439628, 2324663, 1472179, 5236470
, 61, 1459645, 2276699, 1476538, 5212882
, 62, 1487713, 2274975, 1470804, 5233492
, 63, 1445264, 2301499, 1460126, 5206889
, 64, 1446302, 2317067, 1455283, 5218652
, 65, 1464283, 2300681, 1459086, 5224050
, 66, 1375222, 2254130, 1385534, 5014886
, 67, 1335368, 2262668, 1384070, 4982106
, 68, 1480895, 2353913, 1473903, 5308711
, 69, 1420591, 2266009, 1333731, 5020331
, 70, 1464436, 2353321, 1455207, 5272964
, 71, 1441738, 2329544, 1427529, 5198811
, 72, 1402155, 2312597, 1422653, 5137405
, 73, 1430271, 2321881, 1472590, 5224742
, 74, 1431495, 2280110, 1460240, 5171845
, 75, 1436316, 2318158, 1459344, 5213818
, 76, 1444373, 2307460, 1477886, 5229719
, 77, 1352603, 2271357, 1433253, 5057213
, 78, 1455337, 2312459, 1431120, 5198916
, 79, 1559420, 2319369, 1415585, 5294374
, 80, 1416750, 2308293, 1464836, 5189879
, 81, 1465709, 2331044, 1436627, 5233380
, 82, 1418968, 2356612, 1335063, 5110643
, 83, 1465312, 2277768, 1440232, 5183312
, 84, 1438744, 2286073, 1441683, 5166500
, 85, 1341874, 2242982, 1348331, 4933187
, 86, 1484949, 2386663, 1413770, 5285382
, 87, 1445154, 2267645, 1456633, 5169432
, 88, 1414415, 2249404, 1444737, 5108556
, 89, 1192048, 2108701, 1454437, 4755186
, 90, 1422075, 2230374, 1438956, 5091405
, 91, 974942, 1467584, 1540604, 3983130
, 92, 558399, 1409180, 677794, 2645373
, 93, 1386689, 2312309, 1430296, 5129294
, 94, 1467934, 2283420, 1457483, 5208837
, 95, 1451995, 2367920, 1310708, 5130623
, 96, 1469245, 2414331, 1325596, 5209172
, 97, 1425076, 2301251, 1449952, 5176279
, 98, 1567291, 2393601, 1281418, 5242310
, 99, 1540923, 2383293, 1287410, 5211626
